size,purity,training_accuracy,test_accuracy
10,60,0.5211571010924758,0.5052307692307693
10,65,0.5211571010924758,0.5052307692307693
10,70,0.5211571010924758,0.5052307692307693
10,75,0.5211571010924758,0.5052307692307693
10,80,0.5211571010924758,0.5052307692307693
10,85,0.5211571010924758,0.5052307692307693
10,90,0.5211571010924758,0.5052307692307693
10,95,0.5211571010924758,0.5052307692307693
20,60,0.5211571010924758,0.5052307692307693
20,65,0.5211571010924758,0.5052307692307693
20,70,0.5211571010924758,0.5052307692307693
20,75,0.5211571010924758,0.5052307692307693
20,80,0.5211571010924758,0.5052307692307693
20,85,0.5211571010924758,0.5052307692307693
20,90,0.5211571010924758,0.5052307692307693
20,95,0.5211571010924758,0.5052307692307693
30,60,0.5211571010924758,0.5052307692307693
30,65,0.5211571010924758,0.5052307692307693
30,70,0.5211571010924758,0.5052307692307693
30,75,0.5211571010924758,0.5052307692307693
30,80,0.5211571010924758,0.5052307692307693
30,85,0.5211571010924758,0.5052307692307693
30,90,0.5211571010924758,0.5052307692307693
30,95,0.5211571010924758,0.5052307692307693
40,60,0.5211571010924758,0.5052307692307693
40,65,0.5211571010924758,0.5052307692307693
40,70,0.5211571010924758,0.5052307692307693
40,75,0.5211571010924758,0.5052307692307693
40,80,0.5211571010924758,0.5052307692307693
40,85,0.5211571010924758,0.5052307692307693
40,90,0.5211571010924758,0.5052307692307693
40,95,0.5211571010924758,0.5052307692307693
50,60,0.5211571010924758,0.5052307692307693
50,65,0.5211571010924758,0.5052307692307693
50,70,0.5211571010924758,0.5052307692307693
50,75,0.5211571010924758,0.5052307692307693
50,80,0.5211571010924758,0.5052307692307693
50,85,0.5211571010924758,0.5052307692307693
50,90,0.5211571010924758,0.5052307692307693
50,95,0.5211571010924758,0.5052307692307693
60,60,0.5211571010924758,0.5052307692307693
60,65,0.5211571010924758,0.5052307692307693
60,70,0.5211571010924758,0.5052307692307693
60,75,0.5211571010924758,0.5052307692307693
60,80,0.5211571010924758,0.5052307692307693
60,85,0.5211571010924758,0.5052307692307693
60,90,0.5211571010924758,0.5052307692307693
60,95,0.5211571010924758,0.5052307692307693
70,60,0.5211571010924758,0.5052307692307693
70,65,0.5211571010924758,0.5052307692307693
70,70,0.5211571010924758,0.5052307692307693
70,75,0.5211571010924758,0.5052307692307693
70,80,0.5211571010924758,0.5052307692307693
70,85,0.5211571010924758,0.5052307692307693
70,90,0.5211571010924758,0.5052307692307693
70,95,0.5211571010924758,0.5052307692307693
80,60,0.5211571010924758,0.5052307692307693
80,65,0.5211571010924758,0.5052307692307693
80,70,0.5211571010924758,0.5052307692307693
80,75,0.5211571010924758,0.5052307692307693
80,80,0.5211571010924758,0.5052307692307693
80,85,0.5211571010924758,0.5052307692307693
80,90,0.5211571010924758,0.5052307692307693
80,95,0.5211571010924758,0.5052307692307693
90,60,0.5211571010924758,0.5052307692307693
90,65,0.5211571010924758,0.5052307692307693
90,70,0.5211571010924758,0.5052307692307693
90,75,0.5211571010924758,0.5052307692307693
90,80,0.5211571010924758,0.5052307692307693
90,85,0.5211571010924758,0.5052307692307693
90,90,0.5211571010924758,0.5052307692307693
90,95,0.5211571010924758,0.5052307692307693
100,60,0.5211571010924758,0.5052307692307693
100,65,0.5211571010924758,0.5052307692307693
100,70,0.5211571010924758,0.5052307692307693
100,75,0.5211571010924758,0.5052307692307693
100,80,0.5211571010924758,0.5052307692307693
100,85,0.5211571010924758,0.5052307692307693
100,90,0.5211571010924758,0.5052307692307693
100,95,0.5211571010924758,0.5052307692307693
